region,user_ip,user_port,domain_name,app_type,app_sub_type,start_time,end_time,ul_data,dl_data
133583923,10.77.40.222,53124,api.m.taobao.com,15,3,1409649424849,1409649424929,1975,567
133583923,10.77.40.222,53124,api.m.taobao.com,15,3,1409649428709,1409649435823,1965,638
133583923,10.77.40.222,53142,api.m.taobao.com,15,3,1409649403668,1409649403748,1528,598
133583923,10.77.40.222,53142,api.m.taobao.com,15,3,1409649424749,1409649435823,1866,660
133583923,10.77.40.222,53145,api.m.taobao.com,15,3,1409649424779,1409649435828,2081,615
131720754,10.77.40.222,53147,api.m.taobao.com,15,3,1409649410838,1409649435828,1589,1483
NA,10.77.219.124,63054,api.m.taobao.com,15,3,1409649442318,1409649442558,2056,1388
NA,10.77.219.124,63054,api.m.taobao.com,15,3,1409649444218,1409649445718,1778,1529
NA,10.78.16.134,41489,utop.umengcloud.com,15,332,1409649428533,1409649439993,652,676
NA,10.78.16.134,51771,upoll.umengcloud.com,15,332,1409649420413,1409649439993,501,332
NA,10.78.99.11,53296,api.m.taobao.com,15,3,1409649442616,1409649446237,2138,4005
NA,10.79.124.169,65351,api.m.taobao.com,15,3,1409649441186,1409649443402,2228,1678
NA,10.79.124.169,65357,api.m.taobao.com,15,3,1409649446827,1409649447037,2261,634
NA,10.79.124.169,65357,api.m.taobao.com,15,3,1409649447087,1409649447196,3012,538
NA,10.79.124.169,65357,api.m.taobao.com,15,3,1409649447422,1409649449022,2017,1792
NA,10.79.126.55,53091,api.m.taobao.com,15,3,1409649447066,1409649449255,2090,776
NA,10.79.169.189,56983,m.taobao.com,15,91,1409649390699,1409649390899,997,697
NA,10.79.169.189,56983,m.taobao.com,15,91,1409649408059,1409649408268,1279,634
NA,10.79.169.189,56983,m.taobao.com,15,91,1409649408299,1409649438688,1359,674
131695380,10.81.51.77,37819,upoll.umengcloud.com,15,332,1409649423629,1409649449744,501,332
131703562,10.81.143.58,42507,api.m.taobao.com,15,3,1409649437769,1409649439489,380,746
133757972,10.82.12.205,54449,m.taobao.com,15,91,1409649400096,1409649441231,1414,737
133810452,10.83.53.26,54700,utop.umengcloud.com,15,332,1409649438263,1409649439707,981,575
133698590,10.84.4.14,35032,api.m.taobao.com,15,3,1409649449591,1409649452091,1530,529
133698590,10.84.4.14,56078,api.m.taobao.com,15,3,1409649449571,1409649452091,1698,1254
NA,10.84.155.100,55633,api.m.taobao.com,15,3,1409649433481,1409649433650,2003,906
NA,10.84.155.100,55633,api.m.taobao.com,15,3,1409649434521,1409649434641,1939,1497
NA,10.84.155.100,55633,api.m.taobao.com,15,3,1409649435721,1409649437881,2027,689
NA,10.84.155.100,55634,api.m.taobao.com,15,3,1409649433481,1409649435680,2814,839
NA,10.84.155.100,55635,api.m.taobao.com,15,3,1409649433481,1409649435680,2082,573
131672094,10.84.172.186,49159,api.m.taobao.com,15,3,1409649430133,1409649430993,683,664
NA,10.87.33.172,56729,api.m.taobao.com,15,3,1409649395862,1409649395962,1799,2452
NA,10.87.33.172,56729,api.m.taobao.com,15,3,1409649428541,1409649428631,1714,504
NA,10.87.33.172,56729,api.m.taobao.com,15,3,1409649436631,1409649436762,1818,579
131517460,10.88.151.144,49410,api.m.taobao.com,15,3,1409649448111,1409649448611,683,664
131985459,10.89.242.222,60807,api.m.taobao.com,15,3,1409649432344,1409649435769,380,746
NA,10.90.168.76,54732,api.m.taobao.com,15,3,1409649438923,1409649440653,2023,1720
200183334,10.91.16.222,1202,api.m.taobao.com,15,3,1409649434977,1409649442921,460,878
133725972,10.91.54.80,52984,api.m.taobao.com,15,3,1409649442986,1409649452386,692,521
133833502,10.91.118.172,58863,api.m.taobao.com,15,3,1409649433226,1409649442841,849,529
133833502,10.91.118.172,58864,api.m.taobao.com,15,3,1409649433226,1409649433436,835,568
133833502,10.91.118.172,58864,api.m.taobao.com,15,3,1409649433476,1409649442846,813,520
NA,10.91.238.6,62621,api.m.taobao.com,15,3,1409649429748,1409649431278,1882,1819
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649426107,1409649426297,655,558
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649432272,1409649432352,555,458
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649433262,1409649433352,552,458
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649433462,1409649433557,551,458
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649433607,1409649433697,550,458
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649433797,1409649433887,549,458
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649434007,1409649434097,548,458
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649434287,1409649434377,539,458
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649434707,1409649434797,530,879
NA,10.92.19.226,53381,api.m.taobao.com,15,3,1409649444137,1409649444282,652,533
NA,10.92.93.132,40733,api.m.taobao.com,15,3,1409649416974,1409649420408,1866,160
NA,10.92.189.71,49856,api.m.taobao.com,15,3,1409649438346,1409649439346,380,746
NA,10.92.189.142,44906,api.m.taobao.com,15,3,1409649428449,1409649428639,1809,661
NA,10.92.189.142,44906,api.m.taobao.com,15,3,1409649428694,1409649428794,2049,513
133702666,10.92.196.208,46290,upoll.umengcloud.com,15,332,1409649437651,1409649441932,493,324
132010762,10.93.11.157,43767,api.m.taobao.com,15,3,1409649445257,1409649448797,698,529
NA,10.93.61.217,41591,api.m.taobao.com,15,3,1409649389815,1409649430584,9910,80
NA,10.94.16.184,59901,api.m.taobao.com,15,3,1409649397954,1409649436393,380,746
NA,10.94.16.184,59904,api.m.taobao.com,15,3,1409649399023,1409649432883,380,746
133907220,10.94.47.238,60954,api.m.taobao.com,15,3,1409649444681,1409649445246,380,746
NA,10.94.252.98,34656,api.m.taobao.com,15,3,1409649412532,1409649440407,1724,569
NA,10.94.252.98,34659,api.m.taobao.com,15,3,1409649412657,1409649412987,1751,1593
NA,10.94.252.98,34659,api.m.taobao.com,15,3,1409649413612,1409649440407,1776,651
NA,10.94.252.98,34660,api.m.taobao.com,15,3,1409649412672,1409649412962,1740,720
NA,10.94.252.98,34660,api.m.taobao.com,15,3,1409649413692,1409649413777,1725,1114
NA,10.94.252.98,34660,api.m.taobao.com,15,3,1409649413847,1409649413942,1888,575
NA,10.94.252.98,34660,api.m.taobao.com,15,3,1409649414297,1409649414412,1709,1968
NA,10.94.252.98,34660,api.m.taobao.com,15,3,1409649414582,1409649414697,1675,615
NA,10.94.252.98,34660,api.m.taobao.com,15,3,1409649414732,1409649414827,2603,608
NA,10.94.252.98,34660,api.m.taobao.com,15,3,1409649422717,1409649422937,2123,487
NA,10.94.252.98,34660,api.m.taobao.com,15,3,1409649423607,1409649440411,1941,5324
NA,10.94.252.98,34667,api.m.taobao.com,15,3,1409649414422,1409649440427,1924,1561
NA,10.94.252.98,34668,api.m.taobao.com,15,3,1409649414447,1409649440427,1889,710
NA,10.95.46.185,46640,api.m.taobao.com,15,3,1409649405982,1409649406072,2309,479
NA,10.95.46.185,46640,api.m.taobao.com,15,3,1409649414882,1409649414972,2274,479
NA,10.95.46.185,46640,api.m.taobao.com,15,3,1409649430177,1409649430256,2263,479
NA,10.95.46.185,46640,api.m.taobao.com,15,3,1409649449946,1409649450070,2388,554
131436574,10.95.48.110,57272,m.taobao.com,15,91,1409649432263,1409649446463,1437,737
131436574,10.95.48.110,57276,api.m.taobao.com,15,3,1409649432419,1409649434533,1969,573
131436574,10.95.48.110,57277,api.m.taobao.com,15,3,1409649432423,1409649434533,1970,950
131436574,10.95.48.110,57278,api.m.taobao.com,15,3,1409649432428,1409649434523,2701,839
131436574,10.95.48.110,57279,api.m.taobao.com,15,3,1409649432488,1409649434533,2309,820
NA,10.95.160.168,51147,api.m.taobao.com,15,3,1409649431013,1409649432858,1901,1786
NA,10.98.67.79,55090,api.m.taobao.com,15,3,1409649434602,1409649436792,2103,1879
133738004,10.100.17.242,43476,utop.umengcloud.com,15,332,1409649441836,1409649444687,725,577
133738004,10.100.17.242,43480,utop.umengcloud.com,15,332,1409649442876,1409649451346,801,569
NA,10.104.204.131,35271,api.m.taobao.com,15,3,1409649422956,1409649433226,1409,521
NA,10.104.204.131,35273,api.m.taobao.com,15,3,1409649423046,1409649433226,1598,1206
NA,10.105.52.2,52146,api.m.taobao.com,15,3,1409649418528,1409649418778,1544,870
NA,10.105.52.2,52165,api.m.taobao.com,15,3,1409649431713,1409649431948,1467,1626
NA,10.105.52.2,52166,api.m.taobao.com,15,3,1409649431923,1409649432288,1511,3485
NA,10.105.52.2,52167,api.m.taobao.com,15,3,1409649432288,1409649432565,1512,678
NA,10.105.52.2,52168,api.m.taobao.com,15,3,1409649432323,1409649432560,1462,641
NA,10.105.52.2,52170,api.m.taobao.com,15,3,1409649432353,1409649432571,1464,782
NA,10.105.52.2,52173,api.m.taobao.com,15,3,1409649432523,1409649432753,1445,1241
NA,10.105.52.2,52174,api.m.taobao.com,15,3,1409649432538,1409649432769,1464,786
131683348,10.88.45.142,46727,short.weixin.qq.com,1,9,1409649450079,1409649450311,3307,497
133810954,10.81.48.145,32891,140.207.63.50:8080,15,999,1409649435768,1409649436023,1091,2041
133810954,10.81.48.145,33873,140.207.63.50:8080,15,999,1409649435808,1409649436088,940,568
133810954,10.81.48.145,37954,140.207.63.50:8080,15,999,1409649433318,1409649433588,1129,829
133810954,10.81.48.145,42014,140.207.63.50:8080,15,999,1409649435718,1409649435978,885,466
133810954,10.81.48.145,44426,140.207.63.50:8080,15,999,1409649434078,1409649434378,1687,3467
133810954,10.81.48.145,49648,140.207.63.50:8080,15,999,1409649433808,1409649434078,4206,3746
133810954,10.81.48.145,54028,140.207.63.50:8080,15,999,1409649435718,1409649435978,826,464
133810954,10.81.48.145,57537,140.207.63.50:8080,15,999,1409649439038,1409649439308,1605,451
133766420,10.94.106.49,59285,05885.com,15,999,1409649441576,1409649442920,1380,11540
133766420,10.94.106.49,59286,05885.com,15,999,1409649441696,1409649444506,3841,74260
133766420,10.94.106.49,59286,05885.com,15,999,1409649444586,1409649444936,778,1549
133766420,10.94.106.49,59286,05885.com,15,999,1409649444986,1409649446586,870,1653
NA,10.81.197.232,44595,www.19loumm.com,15,999,1409649390380,1409649390630,915,7986
NA,10.81.197.232,44595,www.19loumm.com,15,999,1409649390745,1409649390975,716,1168
NA,10.81.197.232,44595,www.19loumm.com,15,999,1409649390990,1409649453535,750,433
NA,10.105.55.115,55814,www.23fa.com,15,999,1409649427497,1409649428037,811,2645
NA,10.105.55.115,55815,www.23fa.com,15,999,1409649427687,1409649428558,939,3045
